2;-5 -4 -3 -1
1;-5 -4 -3 -1 0
49;60 -63 47 15 38 -87 17 -95 -18 -73 -66 58 -1 -15 18 -85 52 -38 -78 -84 -7 86 -53 46 84 74 -34 12 -2 -20 37 -32 64 57 -21 89 38 75 20 57 31 16 -73 52 -55 -80 69 77 62 35 -65 -17 3 61 47 91 -16 61 90
18;63 -21 63 -33 -58 41 25 3 30 -6 63 -21 -91 66 -33 99 -66 33 43 -43 -97 -18 -43 -35 23 -28 -58 -43 -95 61 -37 -85 40 -81 97 5 16 95 20 -15 7 -26 81 90 -39 39 97 3 69 93 -17 -54 -2 -77 -2 -36 -71 -13 -28 16 36 -41 -48 68 24 2 -75 42 21 69 14 51 20 -92 -69
29;39 -27 68 9 -47 -58 -68 94 -66 -17 33 -40 -5 -15 -2 50 36 -57 29 -82 81 -16 76 -41 63 -76 -16 -11 62 -7 -11 26 -71 22 14 -34 -93 77 88 -29 45 -60 -33 20 -71 -16 -28 -29 98 -69 -34 -52 -64 72 -6 62 -54 -75 34 -33 -39 -38 3 17 12 -86 -97 36 -19 -27 -23 -36 34
26;-26 -98 -74 0 -1 -92 -45 5 13 43 -63 25 -58 35 4 -71 -19 -10 -38 -43 98 -97 -20 13 49 -74 -72 62 -91 10 91 26 70 -31 43 -52 75
8;10 -81 55 38 49 -41 43 25
38;-51 20 -33 -49 -54 14 12 -47 82 71 19 24 68 71 40 -5 -91 -46 -9 -88 26 -80 32 -19 -48 98 -24 -47 -4 18 -65 57 83 -21 -14 51 -95 -70 52 -89 -19 2 66 -19 -27 -61 -17 -49 57 33 -13 11 71 -80 5 57 -92 13 -82 -53 42 95 -23 88 -51 86 -79 8 48 -95 90 21 99 -64 -78 -56 -39 18 -99 -43 5 -25 7 5 -92 -1 28 -68
14;63 -58 90 -37 82 -5 41 43 -59 -41 -99 -70 5 -96 -82 -36 49 3 70 -88 -84 36 -17 -60 26 9 -7 8 -96 -35 54 -82 18 40 45 -38 51 -96 29 -98 5 -46 -50 91 42 -80 92 78 -41 -78 56 61 66 -55 42 53 92 45 -23 -50 92
16;89 -26 26 25 70 48 40 -96 98 77 24 -35 -64 52 49 63 -74 89 20 -36 -26 -30 -80 -63 -68 -13 24 42 64 67 60
17;39 -26 55 66 7 98 14 71 59 99 -49 -16 94 -57 83 -66 -1 37 48 -16 58 4 98 48 -24 -41 -3 -56 -54 -48 -13 50 -43 -38 -6 -16 61 -96 31 70 20 -71 -36 -88 89 48 -28 -81 45 50 51 42 49 -18 -78 56 68 -31 61 -79 -65 36 63 -2 -2 -58 67 17 77 19 96 60 -24 67 -51 61 -49 -80 -68 -74 -43 52 72 76 -78 40 -26 -6 -60 -82 -59 -13 94 41 -71 39
30;-22 98 80 -19 71 78 -30 -88 82 -40 -52 8 -60 -10 -80 -44 43 69 81 48 -15 -19 58 -19 -37 59 8 -95 -90 -61 62 98 94 58 64 8 35 -95 -43 15 -47 64 93 23 -65 13 13 -37 67 92 73 -93 30 -72 -55 14 57 12 23 84 78 -78 31 39 93 -83 32 -18 3 28 -74 36 15 99 -12 4 85 -5 -88 -29 95 -78 -79 -82 26 74 -62 18 16 38
1;-46 22 -23 6 -69 82 -61 -84 72 -65 -35 -55 74 98 -1 -50 36 -37 64 -34 83
29;64 27 73 -28 -96 38 -11 97 16 -73 84 0 11 22 -24 70 -11 -50 -39 -15 -56 30 49 4 -98 68 -99 3 25 -14 48 41 26 53 33 24 -30 -90 48 -3 -25 -37 32 20 -89 -13 -35 5 -62 95 -63 -73 58 -75 -85 53 19 66 29 70 29 -40 -3
12;-67 -86 -25 99 -23 -62 -92 -46 99 15 6 -61 82 13 85 7 7 81 39 -94 71 -64 69 23 55 -48 73 -90 10 80 68 43 80 48 -93 49 19 10 73 -17 -76 23 -59 37 -85 64 -43 -28 8 -88 6 63 -85 1 -52 -69 -17
39;-51 95 -16 -50 -2 -5 -31 54 41 -35 22 -19 0 -34 -71 61 -53 93 11 46 19 10 -48 -60 43 -82 -12 -29 -8 3 14 -71 -2 -83 -54 1 39 48 97 -64 -76 23 75 -28 -40 1 98 -1 91 39 56 24 17 29 -47 -75 3 -82 -12 -1 29 -20 19 65 73 -50 -12 -9 -73 -79 -7 -27 -73
26;10 19 -98 33 32 78 30 17 -18 -63 19 86 -70 -51 42 -63 63 -64 94 -87 -40 -26 -16 87 80 60 46 -75 -11 49 -56 17 -67 41 -4 67 32 -43 40 -24 -22 30 27 4 58 61 1 50 34 -55 -39 -34 -12 -65 86 -29 -77 84 -76 -80 59 81 -54 -35 -43 -18 -17 80 -61 -78 60 88 3 78 95 50 -92
24;-80 21 39 -60 -65 97 56 53 34 -13 48 96 -7 91 73 19 -5 -69 -54 -73 -63 -43 -3 -16 11 83 -32 -21 -44 -60 -62 99 69 12 -59 36 92 89 98 30 -50 12 26 -79 -95 4 40 98 7 -63 81 -99
50;-50 71 -13 -67 24 70 27 -79 -70 -90 -22 -18 -75 85 -5 37 -70 10 -85 -72 44 36 73 -65 42 -35 -65 -47 91 -70 -24 -2 -14 -46 -36 -96 -25 -46 -84 -26 -46 3 -21 64 41 -38 71 84 -19 -60 -59 54 80 -86 82 80 -74 -11 58
25;-36 -20 37 75 88 3 -93 79 -33 3 60 -85 44 22 -66 -97 96 -36 -23 14 57 96 -48 78 26 -43 -76 -19 -10 90 65 7 38 67 -76 15 79 -64 -61 -10 -41 -52 -60 25 -65
